PSC Code (Description),4-Digit PSC,Level 1,Level 1 Category,Level 2,Level 2 Category,,
AB24 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ENGINEERING DEVELOPMENT)),AB24,17,Research and Development,17.1,Systems Development,,
AB25 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)),AB25,17,Research and Development,17.2,Operational Systems Development,,
AB27 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (COMMERCIALIZED)),AB27,17,Research and Development,17.4,Commericalization,,
AB31 (R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (BASIC RESEARCH)),AB31,17,Research and Development,17.3,Technology Base,,
AB32 (R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB32,17,Research and Development,17.3,Technology Base,,
AB33 R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (ADVANCED DEVELOPMENT),AB33,17,Research and Development,17.1,Systems Development,,
AB34 R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (ENGINEERING DEVELOPMENT),AB34,17,Research and Development,17.1,Systems Development,,
AB35 R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (OPERATIONAL SYSTEMS DEVELOPMENT),AB35,17,Research and Development,17.2,Operational Systems Development,,
AB37 (R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (COMMERCIALIZED)),AB37,17,Research and Development,17.4,Commericalization,,
AB41 (R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (BASIC RESEARCH)),AB41,17,Research and Development,17.3,Technology Base,,
AB42 (R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB42,17,Research and Development,17.3,Technology Base,,
AB43 R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ADVANCED DEVELOPMENT),AB43,17,Research and Development,17.1,Systems Development,,
AB44 (R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ENGINEERING DEVELOPMENT)),AB44,17,Research and Development,17.1,Systems Development,,
AB45 R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (OPERATIONAL SYSTEMS DEVELOPMENT),AB45,17,Research and Development,17.2,Operational Systems Development,,
AB47 R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (COMMERCIALIZED),AB47,17,Research and Development,17.4,Commericalization,,
AB91 (R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)),AB91,17,Research and Development,17.3,Technology Base,,
AB92 (R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB92,17,Research and Development,17.3,Technology Base,,
AB93 (R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ADVANCED DEVELOPMENT)),AB93,17,Research and Development,17.1,Systems Development,,
AB94 (R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT)),AB94,17,Research and Development,17.1,Systems Development,,
AB95 (R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AB95,17,Research and Development,17.2,Operational Systems Development,,
AB97 (R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (COMMERCIALIZED)),AB97,17,Research and Development,17.4,Commericalization,,
AC11 (R&D- DEFENSE SYSTEM: AIRCRAFT (BASIC RESEARCH)),AC11,17,Research and Development,17.3,Technology Base,,
AC12 (R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC12,17,Research and Development,17.3,Technology Base,,
AC13 (R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT)),AC13,17,Research and Development,17.1,Systems Development,,
AC14 (R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)),AC14,17,Research and Development,17.1,Systems Development,,
AC15 (R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT)),AC15,17,Research and Development,17.2,Operational Systems Development,,
AC17 (R&D- DEFENSE SYSTEM: AIRCRAFT (COMMERCIALIZED)),AC17,17,Research and Development,17.4,Commericalization,,
AC21 (R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH)),AC21,17,Research and Development,17.3,Technology Base,,
AC22 (R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC22,17,Research and Development,17.3,Technology Base,,
AC23 (R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)),AC23,17,Research and Development,17.1,Systems Development,,
AC24 (R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)),AC24,17,Research and Development,17.1,Systems Development,,
AC25 (R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT)),AC25,17,Research and Development,17.2,Operational Systems Development,,
AC27 (R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (COMMERCIALIZED)),AC27,17,Research and Development,17.4,Commericalization,,
AC31 (R&D- DEFENSE SYSTEM: SHIPS (BASIC RESEARCH)),AC31,17,Research and Development,17.3,Technology Base,,
AC32 (R&D- DEFENSE SYSTEM: SHIPS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC32,17,Research and Development,17.3,Technology Base,,
AC33 (R&D- DEFENSE SYSTEM: SHIPS (ADVANCED DEVELOPMENT)),AC33,17,Research and Development,17.1,Systems Development,,
AC34 (R&D- DEFENSE SYSTEM: SHIPS (ENGINEERING DEVELOPMENT)),AC34,17,Research and Development,17.1,Systems Development,,
AC35 (R&D- DEFENSE SYSTEM: SHIPS (OPERATIONAL SYSTEMS DEVELOPMENT)),AC35,17,Research and Development,17.2,Operational Systems Development,,
AC37 (R&D- DEFENSE SYSTEM: SHIPS (COMMERCIALIZED)),AC37,17,Research and Development,17.4,Commericalization,,
AC41 (R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH)),AC41,17,Research and Development,17.3,Technology Base,,
AC42 (R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC42,17,Research and Development,17.3,Technology Base,,
AC43 (R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT)),AC43,17,Research and Development,17.1,Systems Development,,
AC44 (R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ENGINEERING DEVELOPMENT)),AC44,17,Research and Development,17.1,Systems Development,,
AC45 (R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (OPERATIONAL SYSTEMS DEVELOPMENT)),AC45,17,Research and Development,17.2,Operational Systems Development,,
AC47 (R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (COMMERCIALIZED)),AC47,17,Research and Development,17.4,Commericalization,,
AC51 (R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH)),AC51,17,Research and Development,17.3,Technology Base,,
AC52 (R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC52,17,Research and Development,17.3,Technology Base,,
AC53 (R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT)),AC53,17,Research and Development,17.1,Systems Development,,
AC54 (R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)),AC54,17,Research and Development,17.1,Systems Development,,
AC55 (R&D- DEFENSE SYSTEM: WEAPONS (OPERATIONAL SYSTEMS DEVELOPMENT)),AC55,17,Research and Development,17.2,Operational Systems Development,,
AC57 (R&D- DEFENSE SYSTEM: WEAPONS (COMMERCIALIZED)),AC57,17,Research and Development,17.4,Commericalization,,
AC61 (R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)),AC61,17,Research and Development,17.3,Technology Base,,
AC62 (R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC62,17,Research and Development,17.3,Technology Base,,
AC63 (R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)),AC63,17,Research and Development,17.1,Systems Development,,
AC64 (R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)),AC64,17,Research and Development,17.1,Systems Development,,
AC65 (R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)),AC65,17,Research and Development,17.2,Operational Systems Development,,
AC67 (R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)),AC67,17,Research and Development,17.4,Commericalization,,
AC91 (R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (BASIC RESEARCH)),AC91,17,Research and Development,17.3,Technology Base,,
AC92 (R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AC92,17,Research and Development,17.3,Technology Base,,
AC93 (R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT)),AC93,17,Research and Development,17.1,Systems Development,,
AC94 (R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT)),AC94,17,Research and Development,17.1,Systems Development,,
AC95 (R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)),AC95,17,Research and Development,17.2,Operational Systems Development,,
AC97 (R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (COMMERCIALIZED)),AC97,17,Research and Development,17.4,Commericalization,,
AD11 (R&D- DEFENSE OTHER: AMMUNITION (BASIC RESEARCH)),AD11,17,Research and Development,17.3,Technology Base,,
AD12 (R&D- DEFENSE OTHER: AMMUNITION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD12,17,Research and Development,17.3,Technology Base,,
AD13 (R&D- DEFENSE OTHER: AMMUNITION (ADVANCED DEVELOPMENT)),AD13,17,Research and Development,17.1,Systems Development,,
AD14 (R&D- DEFENSE OTHER: AMMUNITION (ENGINEERING DEVELOPMENT)),AD14,17,Research and Development,17.1,Systems Development,,
AD15 (R&D- DEFENSE OTHER: AMMUNITION (OPERATIONAL SYSTEMS DEVELOPMENT)),AD15,17,Research and Development,17.2,Operational Systems Development,,
AD17 (R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED)),AD17,17,Research and Development,17.4,Commericalization,,
AD21 (R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)),AD21,17,Research and Development,17.3,Technology Base,,
AD22 (R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD22,17,Research and Development,17.3,Technology Base,,
AD23 (R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)),AD23,17,Research and Development,17.1,Systems Development,,
AD24 (R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)),AD24,17,Research and Development,17.1,Systems Development,,
AD25 (R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)),AD25,17,Research and Development,17.2,Operational Systems Development,,
AD27 (R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED)),AD27,17,Research and Development,17.4,Commericalization,,
AD31 (R&D- DEFENSE OTHER: SUBSISTENCE (BASIC RESEARCH)),AD31,17,Research and Development,17.3,Technology Base,,
AD32 (R&D- DEFENSE OTHER: SUBSISTENCE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD32,17,Research and Development,17.3,Technology Base,,
AD33 R&D- DEFENSE OTHER: SUBSISTENCE (ADVANCED DEVELOPMENT),AD33,17,Research and Development,17.1,Systems Development,,
AD34 (R&D- DEFENSE OTHER: SUBSISTENCE (ENGINEERING DEVELOPMENT)),AD34,17,Research and Development,17.1,Systems Development,,
AD35 (R&D- DEFENSE OTHER: SUBSISTENCE (OPERATIONAL SYSTEMS DEVELOPMENT)),AD35,17,Research and Development,17.2,Operational Systems Development,,
AD37 (R&D- DEFENSE OTHER: SUBSISTENCE (COMMERCIALIZED)),AD37,17,Research and Development,17.4,Commericalization,,
AD41 (R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (BASIC RESEARCH)),AD41,17,Research and Development,17.3,Technology Base,,
AD42 (R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD42,17,Research and Development,17.3,Technology Base,,
AD43 (R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ADVANCED DEVELOPMENT)),AD43,17,Research and Development,17.1,Systems Development,,
AD44 (R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT)),AD44,17,Research and Development,17.1,Systems Development,,
AD45 (R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (OPERATIONAL SYSTEMS DEVELOPMENT)),AD45,17,Research and Development,17.2,Operational Systems Development,,
AD47 R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (COMMERCIALIZED),AD47,17,Research and Development,17.4,Commericalization,,
AD51 (R&D- DEFENSE OTHER: FUELS/LUBRICANTS (BASIC RESEARCH)),AD51,17,Research and Development,17.3,Technology Base,,
AD52 (R&D- DEFENSE OTHER: FUELS/LUBRICANTS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD52,17,Research and Development,17.3,Technology Base,,
AD53 (R&D- DEFENSE OTHER: FUELS/LUBRICANTS (ADVANCED DEVELOPMENT)),AD53,17,Research and Development,17.1,Systems Development,,
AD54 R&D- DEFENSE OTHER: FUELS/LUBRICANTS (ENGINEERING DEVELOPMENT),AD54,17,Research and Development,17.1,Systems Development,,
AD55 (R&D- DEFENSE OTHER: FUELS/LUBRICANTS (OPERATIONAL SYSTEMS DEVELOPMENT)),AD55,17,Research and Development,17.2,Operational Systems Development,,
AD57 R&D- DEFENSE OTHER: FUELS/LUBRICANTS (COMMERCIALIZED),AD57,17,Research and Development,17.4,Commericalization,,
AD61 (R&D- DEFENSE OTHER: CONSTRUCTION (BASIC RESEARCH)),AD61,17,Research and Development,17.3,Technology Base,,
AD62 (R&D- DEFENSE OTHER: CONSTRUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD62,17,Research and Development,17.3,Technology Base,,
AD63 (R&D- DEFENSE OTHER: CONSTRUCTION (ADVANCED DEVELOPMENT)),AD63,17,Research and Development,17.1,Systems Development,,
AD64 (R&D- DEFENSE OTHER: CONSTRUCTION (ENGINEERING DEVELOPMENT)),AD64,17,Research and Development,17.1,Systems Development,,
AD65 (R&D- DEFENSE OTHER: CONSTRUCTION (OPERATIONAL SYSTEMS DEVELOPMENT)),AD65,17,Research and Development,17.2,Operational Systems Development,,
AD67 (R&D- DEFENSE OTHER: CONSTRUCTION (COMMERCIALIZED)),AD67,17,Research and Development,17.4,Commericalization,,
AD91 (R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)),AD91,17,Research and Development,17.3,Technology Base,,
AD92 (R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AD92,17,Research and Development,17.3,Technology Base,,
AD93 (R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)),AD93,17,Research and Development,17.1,Systems Development,,
AD94 (R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)),AD94,17,Research and Development,17.1,Systems Development,,
AD95 (R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AD95,17,Research and Development,17.2,Operational Systems Development,,
AD97 (R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED)),AD97,17,Research and Development,17.4,Commericalization,,
AE11 (R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (BASIC RESEARCH)),AE11,17,Research and Development,17.3,Technology Base,,
AE12 (R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AE12,17,Research and Development,17.3,Technology Base,,
AE13 R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (ADVANCED DEVELOPMENT),AE13,17,Research and Development,17.1,Systems Development,,
AE14 R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (ENGINEERING DEVELOPMENT),AE14,17,Research and Development,17.1,Systems Development,,
AE15 R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (OPERATIONAL SYSTEMS DEVELOPMENT),AE15,17,Research and Development,17.2,Operational Systems Development,,
AE17 R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (COMMERCIALIZED),AE17,17,Research and Development,17.4,Commericalization,,
AE21 (R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (BASIC RESEARCH)),AE21,17,Research and Development,17.3,Technology Base,,
AE22 (R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AE22,17,Research and Development,17.3,Technology Base,,
AE23 R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ADVANCED DEVELOPMENT),AE23,17,Research and Development,17.1,Systems Development,,
AE24 (R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ENGINEERING DEVELOPMENT)),AE24,17,Research and Development,17.1,Systems Development,,
AE25 (R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT)),AE25,17,Research and Development,17.2,Operational Systems Development,,
AE27 R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (COMMERCIALIZED),AE27,17,Research and Development,17.4,Commericalization,,
AE31 (R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (BASIC RESEARCH)),AE31,17,Research and Development,17.3,Technology Base,,
AE32 (R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AE32,17,Research and Development,17.3,Technology Base,,
AE33 (R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ADVANCED DEVELOPMENT)),AE33,17,Research and Development,17.1,Systems Development,,
AE34 (R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ENGINEERING DEVELOPMENT)),AE34,17,Research and Development,17.1,Systems Development,,
AE35 (R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)),AE35,17,Research and Development,17.2,Operational Systems Development,,
AE37 (R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (COMMERCIALIZED)),AE37,17,Research and Development,17.4,Commericalization,,
AE91 (R&D- ECONOMIC GROWTH: OTHER (BASIC RESEARCH)),AE91,17,Research and Development,17.3,Technology Base,,
AE92 (R&D- ECONOMIC GROWTH: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AE92,17,Research and Development,17.3,Technology Base,,
AE93 (R&D- ECONOMIC GROWTH: OTHER (ADVANCED DEVELOPMENT)),AE93,17,Research and Development,17.1,Systems Development,,
AE94 R&D- ECONOMIC GROWTH: OTHER (ENGINEERING DEVELOPMENT),AE94,17,Research and Development,17.1,Systems Development,,
AE95 R&D- ECONOMIC GROWTH: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),AE95,17,Research and Development,17.2,Operational Systems Development,,
AE97 R&D- ECONOMIC GROWTH: OTHER (COMMERCIALIZED),AE97,17,Research and Development,17.4,Commericalization,,
AF11 (R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)),AF11,17,Research and Development,17.3,Technology Base,,
AF12 (R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AF12,17,Research and Development,17.3,Technology Base,,
AF13 (R&D- EDUCATION: EDUCATIONAL (ADVANCED DEVELOPMENT)),AF13,17,Research and Development,17.1,Systems Development,,
AF14 (R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)),AF14,17,Research and Development,17.1,Systems Development,,
AF15 (R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT)),AF15,17,Research and Development,17.2,Operational Systems Development,,
AF17 (R&D- EDUCATION: EDUCATIONAL (COMMERCIALIZED)),AF17,17,Research and Development,17.4,Commericalization,,
AG11 (R&D- ENERGY: COAL (BASIC RESEARCH)),AG11,17,Research and Development,17.3,Technology Base,,
AG12 R&D- ENERGY: COAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AG12,17,Research and Development,17.3,Technology Base,,
AG13 (R&D- ENERGY: COAL (ADVANCED DEVELOPMENT)),AG13,17,Research and Development,17.1,Systems Development,,
AG14 R&D- ENERGY: COAL (ENGINEERING DEVELOPMENT),AG14,17,Research and Development,17.1,Systems Development,,
AG15 R&D- ENERGY: COAL (OPERATIONAL SYSTEMS DEVELOPMENT),AG15,17,Research and Development,17.2,Operational Systems Development,,
AG17 R&D- ENERGY: COAL (COMMERCIALIZED),AG17,17,Research and Development,17.4,Commericalization,,
AG21 (R&D- ENERGY: GAS (BASIC RESEARCH)),AG21,17,Research and Development,17.3,Technology Base,,
AG22 (R&D- ENERGY: GAS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AG22,17,Research and Development,17.3,Technology Base,,
AG23 R&D- ENERGY: GAS (ADVANCED DEVELOPMENT),AG23,17,Research and Development,17.1,Systems Development,,
AG24 R&D- ENERGY: GAS (ENGINEERING DEVELOPMENT),AG24,17,Research and Development,17.1,Systems Development,,
AG25 (R&D- ENERGY: GAS (OPERATIONAL SYSTEMS DEVELOPMENT)),AG25,17,Research and Development,17.2,Operational Systems Development,,
AG27 R&D- ENERGY: GAS (COMMERCIALIZED),AG27,17,Research and Development,17.4,Commericalization,,
AG31 (R&D- ENERGY: GEOTHERMAL (BASIC RESEARCH)),AG31,17,Research and Development,17.3,Technology Base,,
