Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"RABY, RON",9/3/18,9/9/19,8500,Department of the Interior,PURCHASE ORDER,GA,113310
"SOUTHERN HOG CONTROL, L.L.C.",8/29/18,9/25/18,0,Department of Agriculture,PURCHASE ORDER,GA,114210
"JAGER PRO, L.L.C.",8/28/18,9/28/18,20792.44,Department of Agriculture,PURCHASE ORDER,GA,114210
"JAGER PRO, L.L.C.",3/8/18,4/9/18,0,Department of Agriculture,PURCHASE ORDER,GA,114210
"DAD'S ENTERPRISES, INC.",5/30/18,5/31/18,32778.9,Department of Defense,PURCHASE ORDER,GA,115112
"INDUSTRIAL HELICOPTERS, LLC",7/17/18,7/22/23,79519.6,Department of Defense,PURCHASE ORDER,GA,115112
"AVIATION COMPLIANCE CONSULTING AGENCY, LLC",8/7/18,9/7/18,0,Department of Defense,PURCHASE ORDER,GA,115310
"HELOAIR, INC",11/1/18,11/30/19,266500,Department of Defense,DELIVERY ORDER,GA,115310
SINGLETON FORESTRY SERVICES LLC,7/10/18,9/30/18,0,Department of Defense,PURCHASE ORDER,GA,115310
"FORESTECH CONSULTING, INC.",8/20/18,8/19/19,278796.56,Department of Defense,DEFINITIVE CONTRACT,GA,115310
"FORESTRY COMMISSION, GA",6/1/15,5/31/20,75510,Department of Defense,DEFINITIVE CONTRACT,GA,115310
"DELMONICO RESTORATION & DEVELOPMENT, LLC",9/21/17,3/20/18,217357,Department of Defense,DEFINITIVE CONTRACT,GA,115310
JAMES C KIDD JR LLC,7/26/17,9/30/20,15000,Department of Agriculture,DEFINITIVE CONTRACT,GA,115310
"LARSON & MCGOWIN, LLC",9/4/17,10/31/17,37498.62,Department of Agriculture,PURCHASE ORDER,GA,115310
"NIGHTHAWK CONSULTING, LLC",2/25/16,12/30/16,34997.03,Department of Agriculture,PURCHASE ORDER,GA,115310
"PEREZ, MICHAEL A",6/13/17,9/30/17,62745,Department of Agriculture,DELIVERY ORDER,GA,115310
"PEREZ, MICHAEL A",3/22/17,4/28/17,27520,Department of Agriculture,DELIVERY ORDER,GA,115310
"NIGHTHAWK CONSULTING, LLC",1/27/17,7/31/18,50372.41,Department of Agriculture,PURCHASE ORDER,GA,115310
"THOMAS,ROBERT E",6/16/17,8/1/18,5297.8,Department of Agriculture,PURCHASE ORDER,GA,115310
T & K APPLICATIONS LLC,6/13/17,8/31/18,33357.5,Department of Agriculture,PURCHASE ORDER,GA,115310
EARTHBALANCE CORPORATION,5/22/17,4/14/18,10464,Department of Agriculture,PURCHASE ORDER,GA,115310
CHESTNUT RIDGE FORESTRY,4/20/17,1/31/20,144162.32,Department of Agriculture,PURCHASE ORDER,GA,115310
NORTHSTAR TECHNOLOGY CORP.,9/26/16,6/15/17,48575.62,Department of Agriculture,PURCHASE ORDER,GA,115310
TURNER LAND SURVEYING,3/16/16,5/30/18,9065,Department of Agriculture,PURCHASE ORDER,GA,115310
"KUYKENDALL, DAVID G",2/8/16,9/30/16,3002.5,Department of Agriculture,PURCHASE ORDER,GA,115310
"CANTRELL, DENNIS",4/4/16,12/31/16,24913.09,Department of Agriculture,DELIVERY ORDER,GA,115310
"UFL, INC.",7/27/15,9/30/18,37155,Department of Agriculture,DEFINITIVE CONTRACT,GA,115310
"ROBERTS TIMBER CO., INC",9/13/18,8/31/19,20960,Department of the Interior,PURCHASE ORDER,GA,115310
"RODNEY BELL ENTERPRISES, LLC",6/22/18,10/31/18,20250,Department of the Interior,PURCHASE ORDER,GA,115310
"MARSHFIELD FOREST SERVICE, INC",3/28/18,9/20/18,16302,Department of the Interior,PURCHASE ORDER,GA,115310
AIR CHUCK INC,1/18/18,2/28/18,3885.1,Department of the Interior,PURCHASE ORDER,GA,115310
"ONE CORPS, INC.",7/1/18,7/31/18,28553.4,Department of Agriculture,PURCHASE ORDER,GA,115310
"ONE CORPS, INC.",7/1/18,7/31/18,28553.4,Department of Agriculture,PURCHASE ORDER,GA,115310
UTAH FIRE COMPANY INC,6/1/18,6/30/18,34102.38,Department of Agriculture,BPA CALL,GA,115310
"PENDER LAND IMPROVEMENTS, LLC",6/1/18,6/30/18,8100,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,6/1/18,6/30/18,400,Department of Agriculture,PURCHASE ORDER,GA,115310
"WOODWARD, COUNTY OF",6/1/18,6/30/18,2750,Department of Agriculture,PURCHASE ORDER,GA,115310
WOODWARD COUNTY EMERGENCY MEDICAL SERVICE,6/1/18,6/30/18,15192,Department of Agriculture,PURCHASE ORDER,GA,115310
TIMMERMANN WILDLAND FIRE SVCS LLC,6/1/18,6/30/18,26151,Department of Agriculture,BPA CALL,GA,115310
"ROCK, SNOW & FIRE, LLC",6/1/18,6/30/18,25029.8,Department of Agriculture,BPA CALL,GA,115310
"SCHOLL FIRE & FUELS MANAGEMENT, INC.",6/1/18,6/30/18,1980,Department of Agriculture,BPA CALL,GA,115310
"SCHOLL FIRE & FUELS MANAGEMENT, INC.",6/1/18,6/30/18,19920,Department of Agriculture,BPA CALL,GA,115310
"FORESTRY COMMISSION, GA",10/15/18,5/31/19,12112,Department of Agriculture,DEFINITIVE CONTRACT,GA,115310
GRIZZLE INC,4/11/18,2/28/19,6675,Department of Agriculture,DEFINITIVE CONTRACT,GA,115310
"UNITED RENTALS (NORTH AMERICA), INC.",5/1/18,5/31/18,3155.99,Department of Agriculture,PURCHASE ORDER,GA,115310
"PEREZ, MICHAEL A",3/19/18,9/30/18,34000.2,Department of Agriculture,DELIVERY ORDER,GA,115310
"PEREZ, MICHAEL A",2/9/18,6/30/18,15540,Department of Agriculture,DELIVERY ORDER,GA,115310
"SANDESTIN INVESTMENTS, LLC",12/4/18,12/7/18,38244.29,Department of Agriculture,PURCHASE ORDER,GA,115310
"RENT-A-PC, INC.",11/29/18,12/28/18,5358,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,12/3/18,1/31/19,62827,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,10/19/18,11/7/18,14627.95,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,10/17/18,5/21/19,30415.24,Department of Agriculture,PURCHASE ORDER,GA,115310
"R.O.T. RANCH CONSTRUCTION, INC.",11/1/18,11/30/18,17500,Department of Agriculture,BPA CALL,GA,115310
"R.O.T. RANCH CONSTRUCTION, INC.",11/1/18,11/30/18,10000,Department of Agriculture,BPA CALL,GA,115310
TIPTON & YOUNG CONSTRUCTION COMPANY INC,10/1/18,10/31/18,18668,Department of Agriculture,BPA CALL,GA,115310
GPC CONSOLIDATED REPORTING,4/20/18,8/31/18,17624,Department of Agriculture,PURCHASE ORDER,GA,115310
"SANDESTIN INVESTMENTS, LLC",7/16/18,11/29/18,12826.56,Department of Agriculture,PURCHASE ORDER,GA,115310
"SANDESTIN INVESTMENTS, LLC",7/16/18,11/29/18,38244.29,Department of Agriculture,PURCHASE ORDER,GA,115310
"CORPORATE FLIGHT MANAGEMENT, INC.",9/14/18,9/14/18,47375.88,Department of Agriculture,PURCHASE ORDER,GA,115310
"EDMO DISTRIBUTORS, INCORPORATED",9/11/18,9/11/18,10500,Department of Agriculture,PURCHASE ORDER,GA,115310
"ONE DIVERSIFIED, LLC",7/10/18,7/9/19,6505,Department of Agriculture,PURCHASE ORDER,GA,115310
GWINNETT AERO LLC,6/6/18,6/7/18,4784.61,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,4/20/18,9/30/18,7500,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,5/15/18,5/15/18,2547.76,Department of Agriculture,PURCHASE ORDER,GA,115310
GPC CONSOLIDATED REPORTING,3/6/18,3/6/18,3450,Department of Agriculture,PURCHASE ORDER,GA,115310
"AHERN RENTALS, INC.",6/25/18,6/25/18,8018.05,Department of Agriculture,PURCHASE ORDER,GA,115310
"RENT-A-PC, INC.",5/2/18,6/1/18,20886,Department of Agriculture,PURCHASE ORDER,GA,115310
"RENT-A-PC, INC.",5/4/18,6/3/18,6195,Department of Agriculture,PURCHASE ORDER,GA,115310
SWN COMMUNICATIONS INC.,7/23/18,7/22/19,3060,Department of Agriculture,PURCHASE ORDER,GA,115310
"BALDWIN FORESTRY, LLC",8/1/18,8/30/18,25693.12,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,8/1/18,8/30/18,84000,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,8/1/18,8/30/18,42000,Department of Agriculture,BPA CALL,GA,115310
D & D MOTORS AND GRADING CO,8/1/18,8/30/18,9000,Department of Agriculture,BPA CALL,GA,115310
D & D MOTORS AND GRADING CO,8/1/18,8/30/18,5400,Department of Agriculture,BPA CALL,GA,115310
D & D MOTORS AND GRADING CO,8/1/18,8/30/18,16200,Department of Agriculture,BPA CALL,GA,115310
D & D MOTORS AND GRADING CO,8/1/18,8/30/18,1800,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,8/1/18,8/30/18,16290.72,Department of Agriculture,BPA CALL,GA,115310
"COVEY, MICHAEL",8/1/18,8/30/18,7200,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,7/1/18,7/31/18,56000,Department of Agriculture,BPA CALL,GA,115310
TEXAS FIRE RESOURCES,7/1/18,7/31/18,9750,Department of Agriculture,BPA CALL,GA,115310
TEXAS FIRE RESOURCES,8/1/18,8/30/18,3900,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,7/1/18,7/31/18,64400,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,7/1/18,7/31/18,42000,Department of Agriculture,BPA CALL,GA,115310
"PENDER LAND IMPROVEMENTS, LLC",6/1/18,6/30/18,26797.23,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,25221,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,27084,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,22116,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,29118,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,25257,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,30757,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,27190,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,6/1/18,6/30/18,34621,Department of Agriculture,BPA CALL,GA,115310
"CAPSTONE FIRE MANAGEMENT, INC.",6/1/18,6/30/18,19524,Department of Agriculture,BPA CALL,GA,115310
FIRE TRAX LLC,6/1/18,6/30/18,25272,Department of Agriculture,BPA CALL,GA,115310
"SCHOLL FIRE & FUELS MANAGEMENT, INC.",6/1/18,6/30/18,26193.56,Department of Agriculture,BPA CALL,GA,115310
"GRIFFITH, WILLIAM JOSEPH",6/1/18,6/30/18,19810,Department of Agriculture,BPA CALL,GA,115310
ATTACK-ONE FIRE MANAGEMENT SERVICES INC,6/1/18,6/30/18,6189.48,Department of Agriculture,BPA CALL,GA,115310
ATTACK-ONE FIRE MANAGEMENT SERVICES INC,6/1/18,6/30/18,8454.79,Department of Agriculture,BPA CALL,GA,115310
ATTACK-ONE FIRE MANAGEMENT SERVICES INC,6/1/18,6/30/18,9500,Department of Agriculture,BPA CALL,GA,115310
"SOUTHEAST FOREST RESOURCES, LLC",6/1/18,6/30/18,24054,Department of Agriculture,BPA CALL,GA,115310
"CRANE, DON",6/1/18,6/30/18,9556,Department of Agriculture,BPA CALL,GA,115310
"CRANE, DON",6/1/18,6/30/18,7524,Department of Agriculture,BPA CALL,GA,115310
"CRANE, DON",6/1/18,6/30/18,9760.78,Department of Agriculture,BPA CALL,GA,115310
PATRICK ENVIRONMENTAL INC,6/1/18,6/30/18,9866,Department of Agriculture,BPA CALL,GA,115310
PATRICK ENVIRONMENTAL INC,6/1/18,6/30/18,7539,Department of Agriculture,BPA CALL,GA,115310
PATRICK ENVIRONMENTAL INC,6/1/18,6/30/18,9580,Department of Agriculture,BPA CALL,GA,115310
PATRICK ENVIRONMENTAL INC,6/1/18,6/30/18,9580,Department of Agriculture,BPA CALL,GA,115310
PATRICK ENVIRONMENTAL INC,6/1/18,6/30/18,5026,Department of Agriculture,BPA CALL,GA,115310
PATRICK ENVIRONMENTAL INC,6/1/18,6/30/18,12425,Department of Agriculture,BPA CALL,GA,115310
TIPTON & YOUNG CONSTRUCTION COMPANY INC,6/1/18,6/30/18,13800,Department of Agriculture,BPA CALL,GA,115310
TIPTON & YOUNG CONSTRUCTION COMPANY INC,6/1/18,6/30/18,13800,Department of Agriculture,BPA CALL,GA,115310
TIPTON & YOUNG CONSTRUCTION COMPANY INC,6/1/18,6/30/18,8082,Department of Agriculture,BPA CALL,GA,115310
TEXAS FIRE RESOURCES,6/1/18,6/30/18,5850,Department of Agriculture,BPA CALL,GA,115310
WILDLANDS FIRE SERVICE INC,5/1/18,5/31/18,22400,Department of Agriculture,BPA CALL,GA,115310
ATLANTIC WILDFIRE RESOURCES LLC,5/1/18,5/31/18,5886.91,Department of Agriculture,BPA CALL,GA,115310
"CRANE, DON",5/1/18,5/31/18,9957.32,Department of Agriculture,BPA CALL,GA,115310
TIPTON & YOUNG CONSTRUCTION COMPANY INC,6/1/18,6/30/18,23804,Department of Agriculture,BPA CALL,GA,115310
"WOODWARD, BRANDON LEE",5/1/18,5/31/18,4300,Department of Agriculture,BPA CALL,GA,115310
"GAMLEN LAND MANAGEMENT, LLC",8/20/18,10/19/18,9200,Department of Agriculture,PURCHASE ORDER,GA,115310
"MARSHFIELD FOREST SERVICE, INC",7/26/18,9/30/18,42026,Department of Agriculture,PURCHASE ORDER,GA,115310
"MARSHFIELD FOREST SERVICE, INC",6/28/18,12/10/18,51731,Department of Agriculture,PURCHASE ORDER,GA,115310
"CANTRELL, DENNIS",6/5/18,8/31/18,4298,Department of Agriculture,PURCHASE ORDER,GA,115310
"LICK FORK WILDLIFE CONSULTING AND LAND MANAGEMENT, LLC",5/31/18,7/15/18,0,Department of Agriculture,PURCHASE ORDER,GA,115310
"LIGHTHOUSE FOR THE BLIND, THE",4/26/18,5/11/18,0,Department of Agriculture,PURCHASE ORDER,GA,115310
"YON, SYLBIE A",4/4/18,9/10/18,2804,Department of Agriculture,PURCHASE ORDER,GA,115310
"KUYKENDALL, DAVID G",4/3/18,9/3/18,5160,Department of Agriculture,PURCHASE ORDER,GA,115310
"UFL, INC.",3/2/18,3/21/18,11527.65,Department of Agriculture,PURCHASE ORDER,GA,115310
"GMS ENVIRONMENTAL FORESTY, INC.",2/26/18,6/30/18,0,Department of Agriculture,PURCHASE ORDER,GA,115310
"EXPRESS FORESTRY SERVICE, LLC",2/14/18,3/30/18,16498,Department of Agriculture,PURCHASE ORDER,GA,115310
"ROBERTS TIMBER CO., INC",7/13/18,10/1/18,6526.9,Department of Agriculture,DELIVERY ORDER,GA,115310
"SWEAT, LLC",7/18/18,12/31/18,50000,Department of Agriculture,DELIVERY ORDER,GA,115310
"THOMAS,ROBERT E",7/10/18,1/5/19,8000,Department of Agriculture,DELIVERY ORDER,GA,115310
